title,link,companyname,snippet,description,salary
Clinical Data Scientist- Royal Brompton Hospital,https://uk.indeed.com/viewjob?jk=417cd14792989ed4,Guy's and St Thomas' NHS Foundation Trust,"To undertake accurate and timely data analysis, validation and reporting of data for quality improvement by the Transformation project, which will involve…","Are you looking for a rewarding position as a data scientist to support transformation and improvement? If so we want to hear from you.

This role is a great opportunity to join the Clinical Informatics and Transformation team primarily at Royal Brompton and Harefield Hospitals. Working across each team you will provide informatics support for improvement, clinicians and researchers to achieve world class research, clinical excellence and ultimately to improve our patient’s health outcomes.

You will design, develop and support analysis solutions using Power BI, SAS and SQL to support transformation, improvement and lead to insight.

You will need experience in healthcare data and strong analysis skills. Communication skills and a willingness to learn are vital for the role.

To support and develop data science and data analysis projects from the Clinical Data Warehouse.

To play a support role in the team for user support and liaison, set up and testing of reports and projects, assisting with Clinical Data Warehouse maintenance, developments, data mining, collection and analysis of data to reveal patterns or anomalies, performance measurement reporting.

To be responsible for the running of the services in the Trust supported by the Clinical Informatics team and ensuring that issues are fed back to Digital, Technology and Information (DT&I) Division for review and where appropriate so that remedial actions can be developed as part of the development lifecycle.

To work within the Transformation team to extract, analyse and measure the impact of improvement projects, using information gathered from Trust data warehouses, external data sources, benchmarking and surveys.

To support and advise members of the Transformation team and wider organisation to interpret and make best use of improvement data and analysis

This is joint post working between Clinical Informatics and Transformation to deliver analytical solutions to support transformation initiatives.

Our Transformation team works with clinical and operational teams of the Heart, Lung, and Critical Care Clinical Group based across Royal Brompton, Harefield and Guy’s and St Thomas’ hospitals to identify opportunities to improve services, create a vision to guide improvements, and provide the inspiration, resource and tools to execute changes in a collaborative way. The team aspires to continually enhance the quality of care we deliver, the outcomes our patients achieve as a result, and their experience of our services. We must meanwhile future-proof the organisation and protect our world-leading services and research by making care delivery as efficient as possible. To do so we must leverage our existing clinical and administrative resources whilst taking advantage of emerging healthcare technologies.

Clinical Informatics provides informatics solutions, to support achieve world class research, clinical excellence and ultimately to improve our patient’s health outcomes. The team designs, develops and supports SAS analysis solutions to enable improvement, efficiency and lead to insight. The team works closely with clinicians and researchers to help them meet their requirements as well as proactively contributing to the team’s ambitious aspirations and supporting others to develop their own SAS skills.

Communication

To communicate with non-technical staff outside of own department regarding complex analysis, information and data issues in a simplified manner

To interpret complex data requirements to produce ad hoc or production reports, dashboards, data mining and predictive analytical models.

To liaise and support other Trust staff as necessary with reporting, and analytical related issues. To provide training, support and mentoring to staff to enhance their skills so they can become self-sufficient in developing their own reports, or confident in using new software or solutions that have been developed within the Transformation team.

To liaise with other members of the Data, Technology and Information directorateto ensure the effective implementation and running of the Clinical Informatics service and its analytics and reporting functions.

To liaise with the Clinical Informatics Manager and wider Transformation team on a regular basis to inform and update on analysis projects, including presenting data or new findings identified within data that may impact on improvement projects.

To liaise with other members of the Clinical Informatics team, other departments and users to identify faults for investigation or shortcomings within the systems and then analyse the requirements and either implement them or specify changes required to third parties.

To liaise with the supplier and outside agencies concerning the operation or enhancement of the CDW system or service.

Patient/customer care (both direct and indirect)

To support clinicians, researchers and non clinical staff in producing information, analysis and data models for the Trust.

To provide user support for the Clinical Informatics and Transformation services. The support will include acting as a specialist to answering general queries, investigating problems and training users, and the design and oversight of implementation of technical solutions where appropriate.

To act as an Innovation and Technology Division’s technical expert in the agreed areas of Clinical Informatics.

To undertake accurate and timely data analysis, validation and reporting of data for quality improvement by the Transformation project, which will involve working appropriately with patient data.

Provide coaching for clinical and non-clinical staff on the use of data analysis and interpretation in relation to transformation and improvement projects.

Policy & Service development

To be involved, and provide support to the Management Team, for the development of Clinical Informatics, ensuring that support processes are developed and maintained to industry standards, in line with ITIL.

Implements policies for the Clinical Informatics and Transformation Services.

Proposes changes to Clinical Informatics and Transformation user working practices and procedures. This may include when planning for new projects, there are changes in best practice guidelines and new reporting processes.

To identify and implement improvements in reporting, software or other systems, which contribute to the performance of the systems or accuracy of data. To plan own workload and projects relating to these improvements.

To identify, in conjunction with other members of the department, or with members of the user community, mechanisms to improve the throughput, presentation and quality of information.

To abide by GDPR and NHS information governance rules, and Clinical Informatics policies, particularly with regard to security, confidentiality and Information Governance (IG). Propose and implement changes to local policies and practice to ensure that security and confidentiality best practice is followed at all times.

Develop standards for reporting, dashboards, data mining and

predictive studies in conjunction with the remainder of the Clinical Informatics team. Assist, the Clinical Informatics Manager and the Clinical Informatics committee in developing policies.

Information management

To work with stakeholders, researchers and clinicians to define, set up, test and implement quality, accurate, validated and timely reports from the Clinical Data Warehouse using the SAS toolset.

To plan and carry out prioritised work and report requests as assigned by the Clinical Informatics Manager acting on own initiative to design most appropriate solution to the requests. To respond quickly and efficiently to prioritised information requests, using SAS Enterprise Guide, Data Management Studio, Python, and Structured Query Language (SQL).

To extend and develop Clinical Data Warehouse functionality as required, using own initiative to develop analytical and data science solutions that meet requirements and within Clinical Informatics standards.

To support the Clinical Data Warehouse team in maintaining the Clinical Data Warehouse and reporting systems. This includes the Extract, Transform, Load (ETL) processes.

To provide full documentation on all Clinical Data Warehouse enhancements, reports, data extracts and interfaces. This will include keeping existing documentation up to date as well as writing new documentation.

To interpret complex database and data warehouse processes and standards.

To test own work and peer-review team member’s work.

To work with stakeholders including clinicians and those outside own department to define, set up, test and implement high quality, accurate, validated and timely reports to support Transformation projects, carrying out requests in an efficient and timely manner using the appropriate toolkit including SQL Server, Excel and Power BI.

Acts as a lead specialist in the field of clinical informatics, data science and use of analytics for improvement.

To create and maintain documentation on reports, data extracts and survey analysis for Transformation projects.

Research and development

To support researchers through the provision of information from the Clinical Data Warehouse.

To offer assistance to researchers and clinicians on preparing and analysing patient level longitudinal data in accordance with a statistical analysis plan acting as a specialist in clinical informatics.","£40,448 - £47,965 a year"
Data Scientist,https://uk.indeed.com/viewjob?jk=72b44ad40e4b63da,Xcede,Data Science & Machine Learning Data Scientist England £75000 - £90000 per annum Permanent Data Scientist (Forecasting) London (fully remote working…,"Data Science & Machine Learning\nData Scientist\nEngland\n£75000 - £90000 per annum\nPermanent\nData Scientist (Forecasting) London (fully remote working within the UK is an option) Up to £90,000 + benefits Xcede are excited to be partnering with a major organisation within the hospitality in...\nFind Out More","£40,000 - £70,000 a year"
Data Scientist,https://uk.indeed.com/viewjob?jk=6a5fb3881557f319,Data Idols,"This Data Scientist will have the chance to network with many clients and explore the data world.As a Data Scientist, you will be building models including…","Data Scientist\nData Idols are proud to be working with one of the top 100 largest companies globally. There’s nearly always something around you which is made by them. Would you be interested in working with this data world.\nSkills and Experience\nPython\nSQL\nAzure (Any other cloud provider)\nWhat’s in it for you?\n£50,000-£65,000\nHybrid working\nData Scientistworking alongside them on their migration to Azure. This Data Scientist will have the chance to network with many clients and explore the  global company?\nThe Opportunity\nAs a Data Scientist, you will be building models including customer churn, demand forcasting and models around pricing. You will be also ","£50,000 - £65,000 a year"
Product Data Scientist,https://uk.indeed.com/viewjob?jk=24432bcdfc0d1e50,,Passionate about solving complex and challenging data problems.Experience with digital marketing data strategies and modelling.,"London, UK (Hybrid)\n£30,000 - £60,000 + equity\nMuzz is the world's biggest dating and marriage app for Muslims, but we've still got a way to go! We need a smart and ambitious data scientist, with real entrepreneurial flair to join our Data Science team to understand our members and all the metrics that matter. Love numbers and love being commercial? This is the role for you.\n\n\nWe're looking for\nYou'll be joining a dynamic data science team whose goal is to grow the company and optimize our products as we expand into new markets around the world.\nYou'll be understanding our user behaviour on the platform with a view to generating actionable insights in terms of both product and marketing.\nYou'll work closely with our data science, engineering, marketing and user acquisition teams.\nYou’ll be proactive and a self-starter to drive innovation with a product focus.\nRequirements and skills needed\nStrong Python knowledge\nStrong SQL knowledge\nExperience in a production environment - version control, virtual environments etc\nStrong knowledge of common statistical methods\nExcellent written and verbal communication skills and presenting to non-technical audiences\nCommercial mindset with the ability to harness customer insights to optimise our marketing and products\nAbility to work flexibly, be organised and manage multiple projects at the same time\nAbility to work collaboratively in cross-functional teams\nPassionate about solving complex and challenging data problems\nExperience in designing and conducting A/B experiments\nNice to have\nExperience deploying ML models in production\nExperience with AWS\nExperience with digital marketing data strategies and modelling\nExperience working with graph networks\nWhy join Muzz (formerly muzmatch)?\nWe’re a profitable Consumer Tech startup, backed by Y Combinator (S17) and based in London . Join our fast growing team and work on an amazing product that’s changing the world.\nA great product\nWe’re the leading app in this space with over 8 million members worldwide and counting!\nLevel up quickly\nWork with talented, generous people on the kinds of challenges you’ll be proud to share.\nA diverse team\nWe have people from all walks of life all adding their unique perspective. Muslims and non-Muslims, cat lovers and dog lovers. Everyone is welcome!\nMeaningful equity\nWe’re all working together to succeed and everyone on the team gets a slice of the pie.\nA day off per month to learn\nWe value curiosity, that’s why the last Friday of every month is set aside for you to learn and develop.\nInternational travel\nWe fly the whole team to somewhere amazing twice a year to connect and have fun.\nRegular socials\nMini golf, hikes, super competitive Catan nights - we’ve done it all. Maybe you’ll be at the next social?\nGenerous Holiday / PTO\nAll full-time members get at least 33 days of holiday, regardless of where they live.\nOur hiring process\nWe pride ourselves on making fast hiring decisions.\nStep 1.\nSubmit your CV.\nStep 2.\nAn initial video call.\nStep 3.\nComplete a technical exercise.\nStep 4.\nInterview (in person or remote)\nStep 5.\nReceive an offer!","£30,000 - £60,000 a year"
,,,,"Machine Learning Analyst - Financial Markets
London
£60,000 - £70,000 per annum

My client is a Large Financial institute based in London and they are looking for a Machine Learning Analyst to join their Data Governance Office in building ML Algorithms and prediction Systems in part of their overall Data Strategy.

Role:

Actively participate with stakeholders to identify and deliver opportunities to support their Data Governance strategy
Source, access, manipulate and engineer data across a range of databases, and formats working with stakeholders and engineers as appropriate
Apply your expertise in quantitative analysis, data mining, analysis of large structured and unstructured data sets to identify data discrepancies
Deliver high impact visualisations & statistical analysis to influence data related decisions
Ensure compliance with their data governance standards and policies and information security principles
Stakeholder management at all levels
Support process improvement and service excellence in helping to build a leading change delivery function

Skills Needed:

Statistical analysis: Identify patterns and anomaly detection
Understanding of Data Governance tooling. (Solidatus, Collibra…)
Data storytelling & Communication: Able to visually represent data and processes in a clear manner to non-technical stakeholders
Machine learning: Implement algorithms and statistical models to enable a computer to automatically learn from data
Programming: Write computer programs to analyse large datasets using SQL, R, Python and Java

If this is of interest, please respond directly to this advert online.

INDHP",
,,,,"RPA Developer UiPath (AI, Machine learning)

Hybrid / Remote

£35,000 to £40,000 + In house Tech Academy + Progression + Company Benefits

Are you a RPA Developer looking to join a company that is so invested in your career progression that they have a fully staffed ""Tech Academy"" onsite with industry experts that will share their knowledge with you 1 day each week no matter your seniority?

On offer is the amazing opportunity for a RPA Developer to join a prestigious and forward thinking company that invest heavily into training to create the best in class developers.

This business are looking to invest heavily into your career by teaching the nuances of AI and Machine Learning algorithm development. This will accelerate your career trajectory into a Senior Developer within a matter of months.

This Company have developed, and continue to remaster their own in house Artificial intelligence products that incorporate Machine Learning principle and pipelines to rapidly automate digital tasks. These products are highly sought after by the leading names in Finance, Education and the Automotive trade.

This role can offer the chance to practice your new skills learnt in the Tech Academy across a multitude of different projects and industries, helping create a well versed RPA Developer.

The Role

You will be working alongside senior team members on client projects to develop their new automations
Spend 1 day a week in the tech academy learning the new advancements within RPA
Work closely with the AI and Machine Learning team to create and implement new algorithms
The Person

RPA Experience (UiPath / Blueprism)
Looking for Training, Career Progression and Development

Keywords: RPA, Robotics Process Automation, UiPath, Blueprism, AI, Artificial Intelligence, ML, Machine Learning,
If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV.

Ernest Gordon Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job, you accept the T&C's, Privacy Policy and Disclaimers which can be found at our website",
,,,,"Bioinformatics & ML specialists, strong stats background, biotech company. Python / R, DL, NGS, London/hybrid

Your new company
You'll be joining one of the most exciting and forward thinking statistical machine learning groups in the industry at a leading biotech who are rapidly expanding their innovation and data science teams by adding Machine Learning specialists at multiple levels to join some of the leading figures in data science and statistics.

This group works with teams throughout the business focusing on model and method development and applying new approaches to draw insights out of clinical & research data to drive forward their drug development.
The company invest heavily in R&D providing a number of opportunities to grow your career and make a significant impact to patients around the world.


Your new role
The position is working within a team focused on statistical innovation and developing/applying machine & deep learning approaches to analyse data from drug discovery and development projects. This role can be partly home based.

You will be an integral part of a wider project and R&D team, working with colleagues to ensure final delivery of multiple important projects.

Main responsibilities will include a mix of:
Acting as a technical lead on projects;
Developing, validating and assessing ML methods, models, algorithms or approaches, with a particular focus on introducing/maintaining statistical rigour;
Working with clinical and biological / pre-clinical researchers to analyse a variety of data sets, eg clinical trial, biomarker or genomic data;
Input into study design, research parameters and statistical analyses, including modelling approaches to find the optimal way of working;
Hands-on programming in python and potentially R or Julia;
Using data science, statistics or machine learning approaches to analyse and interpret pre-clinical data sets;
Data interpretation and visualisation.


What you'll need to succeed
As well as strong communication skills for dealing with internal collaborators and stakeholders, you should have:
An MSc (ideally PhD) in bioinformatics, machine learning, statistics or computer science - or equivalent experience;
Strong programming skills in R and/or Python or a similar language, eg Julia;
A track record utilising a variety of statistical approaches to analyse data;
Experience working with genomic, clinical trial or biological data sets is significantly preferred;
Strong hands-on experience utilising data science, machine learning approaches (random forest, graph networks, neural nets, SVM, supervised / unsupervised learning, etc) or deep learning frameworks (pytorch, Tensorflow); and
Experience with data mining, statistics or data visualisation.

Candidates who can demonstrate novel method, model or package development are encouraged to apply, as are those who have a track record publishing in top-tier journals / conferences, such as NeurIPS, ICML, etc


What you'll get in return
You'll get the chance to make a significant impact on the company's drug discovery and development projects, taking on project leadership for a number of different aspects.
The company are relatively open on salary bands depending on the skills of the person coming in and the benefits package associated with the role is quite generous.
The projects this group work on often involve exposure to very senior stakeholders (Global VP level) and so can offer excellent career advancement.


What you need to do now
If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call me on 0203 465 0057.
If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career, especially as there are a number of other bioinformatics, data science and statistics positions available.


Keywords: data, science, statistics, statistical, biomarker, drug, discovery, development, pharmaceutical, bioinformatics, genetics, NGS, medical, record, machine, deep, learning, python, R, principal, senior, lead, transcriptomic, RNAseq, single, cell, biotech, graph, neural , network",
,,,,"THE OPPORTUNITY

Are you interested in learning and working in the world of data science with its application into media and marketing? Does the world of innovative digital marketing grab your attention? Would you like to experience working at a fast-growing, independently owned agency based in central London’s just off Oxford Circus?

If the answer to all the above is ‘YES!’ then look no further than Medialab.

As at Data Scientist at Medialab, you will join the rapidly developing data team, who are responsible for measurement solutions and modelling expertise help a diverse client-set understand the true value of their media investment, create compelling data stories on how to drive growth, and automate the insights into the planning cycle through their advance and integrated tech stack.

We are looking for inquisitive, articulate, numerate and above-all, enthusiastic placement students to support the wider team in delivering these critical insights and building on the capabilities of our product.

You will be part of a close-knit and friendly team who share results and celebrate success together.

Medialab is a media agency that’s made differently. We’re purpose-led, data-driven and proudly independent. Our independence means we can focus 100% on doing the right thing to secure success for our clients and our brilliant people. We are trusted to deliver that success for some of the UK’s most ambitious and complex organisations, including SunLife, Guide Dogs, RNLI, Laithwaites and National Trust.

WHAT YOU’LL BE DOING

Work closely with business to identify issues that can be resolved using data solutions effectively for decision making

Machine learning tools and statistical methods to solve complex problems

Build algorithms and design experiments to merge, manage, interrogate, and extract data to supply tailored reports to colleagues, clients and wider areas in company

Support the account management and planning teams across all facets of campaign measurement across media channels

Develop automated data processes using Python/R

Ability to organise a variety of large data sets

Undertake regular analysis and reporting for retained clients

Maintain clear and coherent communication, both verbal and written, to understand data needs and report results

Working with the Datalab team and other senior business stakeholders to develop analytical propositions

Applying and developing your data handling and analytical techniques to client projects including: multi-channel response attribution, retention/churn, customer lifetime value, customer engagement and segmentation

THE SKILLS YOU WILL BRING

Highly numerate undergraduate studying a relevant degree in mathematics, statistics, econometrics or computer science

Pre-requisite skills: Strong Excel and MS Office usage

Experience of coding in Python, R or SQL

Experience of data visualisation tools like Tableau/Qlik/Power-BI/Google Data Studio would be useful but not essential

Theoretical understanding of statistical techniques such as regression and developing confidence measures.

Strong data manipulation skills and a keen eye for detail.

Good communication skills.

DESIRED SKILLS

Inquisitive analytical mind with a strong desire to find things out.

Pragmatic approach to problem solving.

Highly organised with strong attention to detail.

Confident and assertive in social environments.

Be a genuine team player whilst also being able to deliver on a task you are responsible for.

Good listener, articulate, persuasive, patient and resourceful.

Quick learner, pro-active mind set, resourceful, and able to think for self.

Positive attitude.

Logical thinker, with the entrepreneurial eye to identify opportunities.

WHAT TO EXPECT FROM US

Working at Medialab comes with lots of perks including all the usual things you would expect, such as a competitive salary package, workplace pension, season ticket loans, cycle to work schemes, weekly social events and big summer / Christmas parties.

On top of that, we offer some extra staff incentives which make life at Medialab even more rewarding:

22 days holiday, increased to 25 days holiday after 3 years (excluding office closure between Christmas and New Year)

Extra day off on your birthday

Amazing long service rewards including a long weekend/week away at Medialab’s expense

Hybrid Working between office & home

Flexi-Time

Charity volunteering days (2 paid for days per year) and other charity initiatives with spot prizes

Free access to Health and Wellbeing Apps including Headspace, Bloom (CBT) & Blinkist

Confidential Employee Assistance Program with free professional counselling

Access to Mental Health Allies (1 in 10 employees are trained in Mental Health First Aid)

A whole host of wellbeing support, as part of our Commitment to Mind’s Mental Health at work standards

A diverse and inclusive culture where everyone has opportunities to engage in open and honest dialogue and hear from inspirational guest speakers though our regular ‘Together We Stand’ open forum

Quarterly reviews to enhance career progression

Continuous professional development and training - CPD Gold accreditation by the IPA

WHO WE ARE

Medialab is the UK’s leading independent media agency, and one of the fastest growing. We’re a Media agency that’s made differently. Purpose-led, data-driven, founder-run and proudly independent. Our independence means we can focus 100% on doing the right thing to secure success for our clients and our brilliant people. Offering media, marketing, digital and data services to a wide variety of clients who we are trusted to deliver success for, including SunLife, Laithwaites Wine, EMMA, National Trust, Mind, Guide Dogs, Alzheimer’s Society, RLNI and Clearscore.

We’re a team of 120 people (and growing), based near Oxford Circus and our people-first, purpose-driven culture has been a key part of our success. Our entrepreneurial spirit means success is rewarded and there are no limits to what you can achieve, as shown by continuously climbing the ranks of Campaign’s ‘Best Places to work’ table, year on year, and being the only agency to achieve ‘Gold’ in Mind’s Workplace Wellbeing Index 2022.

Fundamentally, we believe the best business decisions are made when they are informed by data. Data is our heritage and has been at the heart of our business since inception over sixteen years ago. We encourage, educate and help clients to use data in the most insightful way, to plan and buy across all media channels and deliver the right media solutions for business success.",
,,,,"JOB SUMMARY
A productive, hands on statistical data scientist who applies technical knowledge and practical experience in support of statistical data sciences and anlaytics deliverables for assets and study teams with limited supervision
Ensures excellence in the delivery of analysis ready datasets, analysis results and displays and qc work for which they are responsible
Ensures adherence to high quality statistical data sciences principles, processes and techniques in their daily work.
JOB RESPONSIBILITIES
Accountable for the quality and timely delivery of datasets and displays required for their clinical study reports as well as other asset level deliverables
Ensures appropriate documentation and QC across the lifespan of the study for all of their deliverables
Exhibits routine and occasionally complex problem solving skills, seeking direction when appropriate.
Works with statisticians and statistical data sciences to ensure clear specifications for their deliverables are in place.
Will be knowledgeable in core safety standards as well as TA standards pertinent to their project, may aid in development of standards necessary for their study
May contribute to department level initiatives.
QUALIFICATIONS / SKILLS
Bachelor or Master (preferred) Degree in Statistics, Data Sciences, Biological Sciences, IT, or related field.
At least some relevant experience in a pharmaceutical, biotech, CRO, or Regulatory Agency.
Clinical trials expertise with an understanding of data operations required for the reporting of clinical trial data.
Good understanding of ICH and Regulatory Guidelines including submission requirements and data conformance (e.g., Pinnacle21)
Statistical Programming and SAS, R, or Python hands-on experience
Familiarity with R packages, Shiny Apps, Markdown reports and other associated data science and data analytics tools and AI/ML highly desired.
Experience with Real World Evidence and other big data sources and associated standards (e.g.OMOP, JSON, ODHSI ) in support of regulatory filings desired
Working knowledge of clinical data and relevant data standards (e.g., CDISC)
Strong written and oral communication skills, and project management skills
Proven ability to operate with limited oversight
Knowledge of at least 1 Therapeutic Area
Proven ability to manage delivery under tight timelines.


#LI-PFE
Purpose
Breakthroughs that change patients' lives... At Pfizer we are a patient centric company, guided by our four values: courage, joy, equity and excellence. Our breakthrough culture lends itself to our dedication to transforming millions of lives.
Digital Transformation Strategy
One bold way we are achieving our purpose is through our company wide digital transformation strategy. We are leading the way in adopting new data, modelling and automated solutions to further digitize and accelerate drug discovery and development with the aim of enhancing health outcomes and the patient experience.
Flexibility
We aim to create a trusting, flexible workplace culture which encourages employees to achieve work life harmony, attracts talent and enables everyone to be their best working self. Let’s start the conversation!
Equal Employment Opportunity
We believe that a diverse and inclusive workforce is crucial to building a successful business. As an employer, Pfizer is committed to celebrating this, in all its forms – allowing for us to be as diverse as the patients and communities we serve. Together, we continue to build a culture that encourages, supports and empowers our employees.
DisAbility Confident
We are proud to be a Disability Confident Employer and we encourage you to put your best self forward with the knowledge and trust that we will make any reasonable adjustments necessary to support your application and future career. Our mission is unleashing the power of our people, especially those with unique superpowers. Your journey with Pfizer starts here!
Medical",
,,,,"Datalgorithmics is seeking a talented and experienced Data Scientist to join our team. As a remote data scientist, you will be responsible for leveraging data to support business decision making and drive growth. You will work with a team of data experts to develop and implement advanced analytics solutions, analyze large data sets, and communicate insights to stakeholders.

Responsibilities:

Collect, process, and analyze large data sets to identify trends, patterns, and relationships
Develop predictive models and algorithms to support business decision making
Collaborate with cross-functional teams to understand business needs and translate data insights into actionable recommendations
Communicate findings and recommendations to stakeholders, including executive leadership
Keep up-to-date with emerging trends and technologies in the data science field
Continuously monitor and evaluate the performance of models and algorithms to ensure they are providing valueRequirements:
Master's degree in Computer Science, Statistics, Mathematics, or a related field
3+ years of experience in a data science role
Strong programming skills in Python or R
Expertise in data visualization and data analysis techniques
Ability to work with large, complex data sets
Excellent communication and presentation skills
Ability to work independently and manage time effectively
Access to a computer and reliable internet connection
If you have a passion for data and a drive to make a real impact, we would love to hear from you! Please send your resume and a cover letter to hr@datalgorithmics.com.

Job Type: Freelance

Pay: From £10.00 per hour

Benefits:

Casual dress
Company events
Flexitime
Work from home
Schedule:

Flexitime
Monday to Friday
Weekend availability
Supplemental pay types:

Commission pay
Loyalty bonus
Performance bonus
Ability to commute/relocate:

London, Greater London: reliably commute or plan to relocate before starting work (preferred)
Education:

Bachelor's (preferred)
Experience:

Teaching: 1 year (preferred)
Reference ID: Data Engineer


Flexitime",
